Product Name,Build Number,Date,KB
Exchange 2007 SP3 RU5,8.3.213.1,9/21/2011,KB2602324
Exchange 2007 SP3 RU6,8.3.245.2,1/25/2012,KB2608656
Exchange 2007 SP3 RU7,8.3.264.0,4/16/2012,KB2655203
Exchange 2007 SP3 RU8,8.3.279.3,8/13/2012,KB2734232
Exchange 2007 SP3 RU8v2,8.3.279.5,10/9/2012,KB2756497
Exchange 2007 SP3 RU8v3,8.3.279.6,11/13/2012,KB2778154
Exchange 2007 SP3 RU9,8.3.297.2,12/10/2012,KB2746157
Exchange 2007 SP3 RU10,8.3.298.3,2/11/2013,KB2788321
Exchange 2007 SP3 RU11,8.3.327.1,8/13/2013,KB2873746
Exchange 2007 SP3 RU12,8.3.342.4,12/10/2013,KB2903911
Exchange 2007 SP3 RU13,8.3.348.1,2/25/2014,KB2917522
Exchange 2007 SP3 RU14,8.3.379.2,8/26/2014,KB2936861
Exchange 2007 SP3 RU15,8.3.389.2,12/9/2014,KB2996150
Exchange 2007 SP3 RU16,8.3.406.0,3/17/2015,KB3030086
Exchange 2007 SP3 RU17,8.3.417.1,6/16/2015,KB3056710
Exchange 2007 SP3 RU18,8.3.445.0,12/10/2015,KB3078672
Exchange 2007 SP3 RU19,8.3.459.0,3/15/2016,KB3141352
Exchange 2007 SP3 RU21,8.3.485.1,9/12/2016,KB3184711
Exchange 2007 SP3 RU22,8.3.502.0,12/12/2016,KB3184712
Exchange 2007 SP3 RU23,8.3.517.0,3/20/2017,KB4011325
Exchange 2010 RTM,14.0.639.21,11/9/2009,
Exchange 2010 RU1,14.0.682.1,12/9/2009,KB976573
Exchange 2010 RU2,14.0.689.0,3/4/2010,KB979611
Exchange 2010 RU3,14.0.694.0,4/9/2010,KB981401
Exchange 2010 RU4,14.0.702.1,6/17/2010,KB982639
Exchange 2010 RU5,14.0.726.0,12/13/2010,KB2407113
Exchange 2010 SP1 RTM,14.1.218.15,8/24/2010,
Exchange 2010 SP1 RU1,14.1.255.2,10/4/2010,KB2407028
Exchange 2010 SP1 RU2,14.1.270.1,12/9/2010,KB2425179
Exchange 2010 SP1 RU3,14.1.289.3,3/7/2011,KB2492690
Exchange 2010 SP1 RU3v3,14.1.289.7,4/1/2011,KB2529939
Exchange 2010 SP1 RU4,14.1.323.1,6/22/2011,KB2509910
Exchange 2010 SP1 RU4v2,14.1.323.6,7/27/2011,KB2579150
Exchange 2010 SP1 RU5,14.1.339.1,8/23/2011,KB2582113
Exchange 2010 SP1 RU6,14.1.355.2,10/27/2011,KB2608646
Exchange 2010 SP1 RU7,14.1.421.0,8/13/2012,KB2743248
Exchange 2010 SP1 RU7v2,14.1.421.2,10/9/2012,KB2756496
Exchange 2010 SP1 RU7v3,14.1.421.3,11/12/2012,KB2778158
Exchange 2010 SP1 RU8,14.1.438.0,12/10/2012,KB2787763
Exchange 2010 SP2 RTM,14.2.247.5,12/4/2011,
Exchange 2010 SP2 RU1,14.2.283.3,2/13/2012,KB2645995
Exchange 2010 SP2 RU2,14.2.298.4,4/16/2012,KB2661854
Exchange 2010 SP2 RU3,14.2.309.2,5/29/2012,KB2685289
Exchange 2010 SP2 RU4,14.2.318.2,8/13/2012,KB2706690
Exchange 2010 SP2 RU4v2,14.2.318.4,10/9/2012,KB2756485
Exchange 2010 SP2 RU5,14.2.328.5,11/13/2012,KB2719800
Exchange 2010 SP2 RU5v2,14.2.328.10,12/10/2012,KB2785908
Exchange 2010 SP2 RU6,14.2.342.3,2/11/2013,KB2746164
Exchange 2010 SP2 RU7,14.2.375.0,8/13/2013,KB2874216
Exchange 2010 SP2 RU8,14.2.390.3,12/10/2013,KB2903903
Exchange 2010 SP3 RTM,14.3.123.4,2/12/2013,KB2808208
Exchange 2010 SP3 RU1,14.3.146.0,5/29/2013,KB2803727
Exchange 2010 SP3 RU2,14.3.158.1,8/13/2013,KB2866475
Exchange 2010 SP3 RU3,14.3.169.1,11/25/2013,KB2891587
Exchange 2010 SP3 RU4,14.3.174.1,12/10/2013,KB2905616
Exchange 2010 SP3 RU5,14.3.181.6,2/25/2014,KB2917508
Exchange 2010 SP3 RU6,14.3.195.1,5/23/2014,KB2936871
Exchange 2010 SP3 RU7,14.3.210.2,8/26/2014,KB2961522
Exchange 2010 SP3 RU8v2,14.3.224.2,12/12/2014,KB2986475
Exchange 2010 SP3 RU9,14.3.235.1,3/17/2015,KB3030085
Exchange 2010 SP3 RU10,14.3.248.2,6/16/2015,KB3049853
Exchange 2010 SP3 RU11,14.3.266.1,9/11/2015,KB3078674
Exchange 2010 SP3 RU12,14.3.279.2,12/10/2015,KB3096066
Exchange 2010 SP3 RU13,14.3.294.0,3/15/2016,KB3141339
Exchange 2010 SP3 RU14,14.3.301.0,6/15/2016,KB3151097
Exchange 2010 SP3 RU15,14.3.319.2,9/12/2016,KB3184728
Exchange 2010 SP3 RU16,14.3.339.0,12/12/2016,KB3184730
Exchange 2010 SP3 RU17,14.3.352.0,3/20/2017,KB4011326
Exchange 2010 SP3 RU18,14.3.361.1,7/6/2017,KB4018588
Exchange 2010 SP3 RU19,14.3.382.0,12/17/2017,KB4035162
Exchange 2010 SP3 RU20,14.3.389.1,03/05/2018,KB4073537
Exchange 2013 RTM,15.0.516.32,2/03/2013,
Exchange 2013 CU1,15.0.620.29,4/02/2013,KB2816900
Exchange 2013 CU2,15.0.712.24,7/09/2013,KB2859928
Exchange 2013 CU3,15.0.775.38,11/25/2013,KB2892464
Exchange 2013 SP1,15.0.847.32,2/25/2014,KB2926248
Exchange 2013 CU5,15.0.913.22,5/27/2014,KB2936880
Exchange 2013 CU6,15.0.995.29,8/26/2014,KB2961810
Exchange 2013 CU7,15.0.1044.25,12/09/2014,KB2986485
Exchange 2013 CU8,15.0.1076.9,3/17/2015,KB3030080
